numeric1,numeric2,numeric3,numeric4,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,category11,category12,category13,category14,category15,category16,category17,category18,category19,category20,category21,category22,category23,category24,category25,category26,category27,category28,category29,category30,category31,category32,category33,category34,category35,category36,category37,category38,category39,category40,category41,category42,category43,category44,category45,category46,category47,category48,category49,category50
4.593654908,3.791249812,4.100946164,50,1,0,0,1,1,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
4.642098473,3.726833028,3.942003366,60,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,1,1,0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4.690728156,4.113928402,4.115909337,41,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,2,2,0,0,1,1,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0
4.624162145,3.59131044,3.84076143,48,1,0,2,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.680143859,3.778439354,3.965647273,54,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
4.581871711,3.620759377,3.886446105,50,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4.623595899,4.14989555,4.209831677,46,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4.668896276,3.88133956,4.105961269,64,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
4.608172588,3.675340475,3.977242834,49,1,0,0,2,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
4.687037635,3.834043767,4.025486147,40,0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
4.630929754,3.726833028,3.965647273,60,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
4.56933296,3.508420516,3.933580736,54,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4.53252582,3.484979584,3.785578521,57,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,0,0,0,2,0
4.554788216,3.596577027,3.905344484,65,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1
4.613915441,3.732881151,4.054521638,56,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
4.676410086,3.825916577,4.095903274,62,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,1,0
4.600652297,3.708443731,3.953902088,68,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2
4.498076777,3.386875004,3.905344484,58,1,0,0,1,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
4.630929754,3.806666088,4.043875444,54,0,0,0,1,1,0,1,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.674805197,3.865845752,3.988692535,40,0,0,0,1,1,0,1,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1
4.669435039,3.942003366,4.135485129,65,0,0,1,1,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0
4.612196386,3.763990809,3.880058435,66,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
4.57113482,3.882618884,4.143199067,70,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4.560876795,3.551728585,3.923858462,65,1,0,0,1,0,0,2,0,0,0,1,0,1,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
4.630929754,3.720744448,3.880058435,42,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
4.65532252,3.713076002,3.977242834,41,0,1,0,2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
4.615631255,3.926298783,4.182658339,58,1,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
4.613915441,3.605287516,3.867147023,56,1,0,1,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0
4.595409305,3.627552239,3.892789261,56,1,0,0,0,0,0,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,0
4.608172588,3.601813317,3.942003366,40,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4.594824881,3.593069357,3.934788751,57,1,1,0,0,0,0,1,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,2,0
4.62019101,3.720744448,4,63,0,0,0,1,1,0,2,0,0,0,1,0,2,0,2,1,0,0,1,0,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,2
4.619622289,3.608748506,3.965647273,40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4.629242563,3.874915826,3.977242834,48,0,0,0,1,1,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0
4.685451392,3.979544325,4.11689819,40,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.584831841,3.640987748,3.992099548,70,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
4.62642361,3.795480211,3.971463518,40,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.625293579,3.521820704,3.695974506,40,1,0,1,0,0,1,1,0,1,0,1,1,0,1,2,2,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4.590723378,3.55539891,3.834043767,40,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
4.685451392,3.902847255,4.095903274,55,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0
4.578901923,3.821825608,4.105961269,45,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,1,0,1,0,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4.584831841,3.586013203,3.953902088,62,1,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,1,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
4.690728156,3.969141478,4.135485129,60,0,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0
4.592483429,3.792662131,4.016702106,49,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
4.608172588,3.578901923,3.905344484,56,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.602393271,3.741878647,4.075447599,58,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
4.548658635,3.492860492,3.816342222,44,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0
4.631491456,4.028758431,4.195440243,51,1,0,1,0,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
4.590723378,3.695974506,4,62,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
4.542487498,3.670511608,4.01116872,54,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1
